Player,Team,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Gardner Minshew,JAC,37.5,22.0,247.2,1.4,1.4,0.587,6.59,2.0,8.3,4.15,0.0,0.1,13.3
Colt McCoy,WAS,34.0,21.2,240.2,1.3,1.1,0.624,7.06,2.7,8.9,3.30,0.0,0.4,13.1
Nick Mullens,SF,31.4,19.8,238.5,1.4,1.0,0.631,7.60,2.2,2.9,1.32,0.0,0.1,13.1
Chase Daniel,CHI,27.0,16.7,195.2,1.2,0.8,0.619,7.23,2.7,7.2,2.67,0.0,0.1,11.8
Robert Griffin,BAL,24.5,15.1,172.6,1.1,0.6,0.616,7.04,3.3,14.8,4.48,0.1,0.2,11.6
Josh McCown,PHI,26.1,16.3,177.3,1.2,0.8,0.625,6.79,2.4,9.8,4.08,0.1,0.1,11.2
Blake Bortles,LAR,20.3,12.3,147.5,0.9,0.5,0.606,7.27,3.4,17.1,5.03,0.1,0.0,10.6
Taylor Heinicke,CAR,28.0,18.3,187.6,0.8,0.9,0.654,6.70,2.4,10.5,4.38,0.1,0.0,10.4
Brett Hundley,ARI,26.9,16.0,178.1,0.9,0.7,0.595,6.62,2.0,9.3,4.65,0.1,0.1,10.2
Trevor Siemian,NYJ,26.0,15.6,176.8,0.9,0.9,0.600,6.80,2.1,8.3,3.95,0.0,0.0,10.2
Jarrett Stidham,NE,18.0,12.0,137.0,1.0,0.0,0.667,7.61,1.0,4.0,4.00,0.0,0.0,9.9
Teddy Bridgewater,NO,21.6,13.3,160.3,1.0,0.5,0.616,7.42,2.8,5.3,1.89,0.0,0.0,9.8
Paxton Lynch,SEA,19.8,12.2,139.6,0.9,0.5,0.616,7.05,2.9,12.7,4.38,0.1,0.0,9.6
Matt Barkley,BUF,24.7,15.1,185.3,0.9,1.0,0.611,7.50,2.5,3.8,1.52,0.0,0.1,9.5
Ryan Finley,CIN,19.5,11.8,128.2,0.9,0.4,0.605,6.57,0.8,2.6,3.25,0.0,0.1,8.2
Joshua Dobbs,PIT,21.3,13.1,130.2,0.8,0.7,0.615,6.11,2.3,9.7,4.22,0.0,0.0,8.2
Tyrod Taylor,LAC,17.6,10.8,123.6,0.7,0.5,0.614,7.02,2.6,12.7,4.88,0.1,0.0,8.0
Cooper Rush,DAL,20.0,12.3,130.7,0.6,0.3,0.615,6.54,1.6,7.7,4.81,0.0,0.0,8.0
Chad Henne,KC,16.6,10.5,126.4,0.6,0.2,0.633,7.61,1.9,2.9,1.53,0.0,0.0,7.3
DeShone Kizer,GB,18.4,10.9,118.0,0.5,0.5,0.592,6.41,1.9,10.0,5.26,0.1,0.0,6.9
Drew Stanton,CLE,18.0,10.7,120.6,0.5,0.6,0.594,6.70,1.8,8.1,4.50,0.0,0.0,6.8
Brian Hoyer,NE,18.1,11.0,119.5,0.6,0.6,0.608,6.60,2.6,5.6,2.15,0.0,0.0,6.6
Mike Glennon,OAK,19.2,12.3,142.0,0.7,0.5,0.641,7.40,1.6,1.6,1.00,0.0,0.5,6.5
AJ McCarron,HOU,15.2,9.6,110.0,0.7,0.4,0.632,7.24,1.9,2.8,1.47,0.0,0.1,6.3
Matt Schaub,ATL,16.0,10.1,101.5,0.5,0.3,0.631,6.34,1.2,3.1,2.58,0.0,0.1,5.9
Sean Mannion,MIN,13.6,8.3,92.9,0.3,0.1,0.610,6.83,2.3,4.6,2.00,0.1,0.1,5.2
Kevin Hogan,DEN,11.5,7.0,77.0,0.5,0.5,0.609,6.70,2.0,9.5,4.75,0.0,0.0,5.0
Tom Savage,DET,11.6,7.2,76.9,0.5,0.4,0.621,6.63,1.4,2.2,1.57,0.0,0.6,3.3
Josh Johnson,DET,7.4,4.2,45.5,0.2,0.3,0.568,6.15,1.2,5.3,4.42,0.0,0.0,2.8
Garrett Gilbert,CLE,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Geno Smith,SEA,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Nathan Peterman,OAK,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Tyler Bray,CHI,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Kyle Allen,CAR,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Chad Kelly,IND,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Cardale Jones,LAC,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Joe Webb,HOU,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Jake Rudock,MIA,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Alex Tanney,NYG,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Kyle Lauletta,NYG,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Cody Kessler,PHI,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Brandon Allen,LAR,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Danny Etling,ATL,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Ryan Griffin,TB,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Nick Fitzgerald,TB,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Brett Rypien,DEN,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Tyree Jackson,BUF,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Mason Rudolph,PIT,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Easton Stick,LAC,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
David Fales,DET,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Clayton Thorson,PHI,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Trace McSorley,BAL,0.0,0.0,0.0,0.0,0.0,0.000,0.000,5.4,27.2,0.000,0.2,0.0,0.0
Davis Webb,NYJ,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Logan Woodside,TEN,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Mike White,DAL,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Tim Boyle,GB,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Joe Callahan,BAL,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Luke Falk,NYJ,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Alex McGough,JAC,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
Kyle Sloter,MIN,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.000,0.0,0.0,0.0
