Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
John Brown,BUF,46.3,713.5,15.41,4.8,0.1,100.2
Tyrell Williams,OAK,53.0,748.3,14.12,4.1,0.8,97.8
Michael Gallup,DAL,46.4,711.0,15.32,4.3,0.2,96.6
Donte Moncrief,PIT,49.5,684.2,13.82,4.9,0.6,96.4
Mohamed Sanu,ATL,58.3,740.6,12.70,3.7,0.7,94.3
D.K. Metcalf,SEA,43.3,656.4,15.16,4.9,0.6,93.9
Jamison Crowder,NYJ,56.8,704.0,12.39,4.0,0.7,92.8
James Washington,PIT,47.2,676.8,14.34,4.2,0.6,91.7
Geronimo Allison,GB,50.5,677.1,13.41,4.0,0.7,90.6
Anthony Miller,CHI,44.5,602.3,13.53,5.2,0.6,90.4
Paul Richardson,WAS,47.5,686.0,14.44,3.5,0.1,89.7
Albert Wilson,MIA,51.1,675.5,13.22,3.8,0.6,89.2
DaeSean Hamilton,DEN,57.4,614.4,10.70,4.1,0.7,84.8
Devante Parker,MIA,48.9,644.5,13.18,3.2,0.1,83.5
Marqise Lee,JAC,52.7,666.8,12.65,2.9,0.6,82.8
Golden Tate,NYG,55.4,644.1,11.63,3.2,0.7,82.7
Ted Ginn,NO,39.8,606.2,15.23,3.5,0.6,80.3
Keke Coutee,HOU,51.5,579.4,11.25,3.2,0.7,76.1
Marquise Brown,BAL,37.8,577.3,15.27,3.3,1.1,75.3
Marquise Goodwin,SF,32.3,540.5,16.73,3.5,0.1,75.0
Devin Funchess,IND,39.5,504.6,12.77,4.0,0.1,74.0
Quincy Enunwa,NYJ,45.1,570.8,12.66,2.9,0.6,73.0
Zay Jones,BUF,40.3,488.4,12.12,4.2,0.6,72.7
Robert Foster,BUF,31.4,525.7,16.74,3.3,0.1,72.0
Trey Quinn,WAS,46.9,536.4,11.44,3.2,0.7,71.6
Danny Amendola,DET,56.8,561.7,9.89,2.7,0.6,71.1
Tre'Quan Smith,NO,33.7,494.7,14.68,3.6,0.1,71.1
Terry McLaurin,WAS,40.9,528.5,12.92,3.0,0.3,70.2
A.J. Brown,TEN,42.5,534.7,12.58,2.8,0.2,69.9
Miles Boykin,BAL,34.3,509.2,14.85,3.3,0.6,69.8
Nelson Agholor,PHI,41.4,508.9,12.29,3.3,0.6,69.4
Deebo Samuel,SF,42.0,536.4,12.77,2.8,0.6,69.2
Taylor Gabriel,CHI,45.5,546.1,12.00,2.6,0.7,68.8
Adam Humphries,TEN,46.1,523.0,11.34,2.7,0.6,67.6
Willie Snead,BAL,47.5,532.1,11.20,2.5,0.6,66.9
Cole Beasley,BUF,47.6,513.0,10.78,2.4,0.6,64.6
Randall Cobb,DAL,45.4,489.2,10.78,2.5,0.6,62.7
N'Keal Harry,NE,31.0,426.2,13.75,3.2,0.6,60.3
Mecole Hardman,KC,25.8,422.5,16.38,3.2,0.6,60.2
Chris Conley,JAC,37.0,451.1,12.19,2.6,0.4,60.1
Kenny Stills,HOU,27.5,410.9,14.94,3.0,0.1,58.6
Jakeem Grant,MIA,33.2,438.5,13.21,2.5,0.6,57.5
Rashard Higgins,CLE,32.9,421.7,12.82,2.7,0.6,57.4
Breshad Perriman,TB,27.7,443.8,16.02,2.0,0.1,56.6
David Moore,SEA,25.3,375.0,14.82,3.1,0.0,56.0
D.J. Chark,JAC,38.2,466.3,12.21,2.2,2.1,55.5
Travis Benjamin,LAC,22.4,397.7,17.75,2.6,0.2,54.5
John Ross,CIN,26.8,323.6,12.07,3.7,0.1,54.4
Preston Williams,MIA,31.4,425.2,13.54,2.0,0.3,53.8
Andy Isabella,ARI,28.8,386.8,13.43,2.3,0.2,52.4
Chad Beebe,MIN,33.3,371.3,11.15,2.5,0.6,50.6
Antonio Callaway,CLE,24.1,338.8,14.06,2.7,0.6,49.1
Hunter Renfrow,OAK,35.7,380.6,10.66,1.8,0.2,48.6
Parris Campbell,IND,27.9,355.4,12.74,1.9,0.6,46.2
KeeSean Johnson,ARI,24.9,333.5,13.39,2.0,0.1,45.0
Cody Latimer,NYG,22.1,343.9,15.56,1.9,0.6,44.6
Allen Hurns,MIA,23.5,327.7,13.94,1.9,0.2,43.7
Michael Crabtree,ARI,25.1,295.0,11.75,2.1,0.1,42.0
Demarcus Robinson,KC,20.5,279.9,13.65,2.3,0.0,41.6
Phillip Dorsett,NE,21.3,278.3,13.07,2.1,0.1,40.3
Josh Reynolds,LAR,19.4,267.0,13.76,2.2,0.0,40.0
J.J. Arcega-Whiteside,PHI,21.1,277.2,13.14,2.0,0.1,39.7
Chris Hogan,CAR,21.0,285.6,13.60,1.8,0.1,39.3
Gary Jennings,SEA,22.3,281.6,12.63,1.8,0.2,38.9
Ryan Switzer,PIT,26.4,283.2,10.73,1.5,0.2,36.6
Jarius Wright,CAR,24.3,286.4,11.79,1.3,0.3,36.2
Tajae Sharpe,TEN,19.1,248.7,13.02,1.5,0.0,34.1
Ryan Grant,OAK,23.5,268.0,11.40,1.1,0.1,33.2
Keith Kirkwood,NO,16.5,229.2,13.89,1.6,0.1,32.2
Cordarrelle Patterson,CHI,12.6,223.4,17.73,1.6,0.1,31.3
Keelan Cole,JAC,18.2,240.9,13.24,1.0,0.2,29.9
Tim Patrick,DEN,18.2,251.7,13.83,0.8,0.1,29.8
Justin Watson,TB,18.4,227.6,12.37,1.2,0.1,29.7
Taywan Taylor,CLE,18.1,238.0,13.15,1.1,0.5,29.6
Jakobi Meyers,NE,15.3,198.8,12.99,1.6,0.1,29.4
Jake Kumerow,GB,16.1,210.6,13.08,1.4,0.1,29.0
John Ursua,SEA,15.3,194.3,12.70,1.5,0.1,28.0
Darius Slayton,NYG,14.6,211.6,14.49,1.1,0.1,27.7
Justin Hardy,ATL,16.5,195.5,11.85,1.3,0.1,27.3
J.J. Nelson,OAK,15.4,203.4,13.21,1.1,0.1,27.1
Trent Taylor,SF,17.9,201.0,11.23,1.0,0.1,25.8
Jalen Hurd,SF,12.7,188.2,14.82,1.2,0.1,25.7
Tavon Austin,DAL,11.9,207.9,17.47,0.7,0.1,25.1
Diontae Johnson,PIT,15.4,207.5,13.47,0.8,0.1,25.0
Bennie Fowler,NYG,10.6,180.1,16.99,1.1,0.0,24.6
Deon Cain,IND,15.3,196.6,12.85,0.8,0.1,24.4
Chris Lacy,DET,17.6,188.4,10.70,0.9,0.1,24.0
Chris Moore,BAL,14.3,203.8,14.25,0.6,0.1,23.8
Kelvin Harmon,WAS,13.4,176.1,13.14,0.9,0.1,22.8
Olabisi Johnson,MIN,12.6,157.0,12.46,0.9,0.1,20.8
Damion Willis,CIN,12.6,156.3,12.40,0.8,0.1,20.6
Russell Shepard,NYG,9.8,146.4,14.94,0.9,0.1,19.8
Seth Roberts,BAL,10.8,142.8,13.22,0.8,0.0,18.8
Russell Gage,ATL,9.2,113.7,12.36,1.2,0.1,18.7
Austin Carr,NO,8.9,111.6,12.54,1.2,0.0,18.2
Trevor Davis,GB,9.7,119.8,12.35,0.8,0.0,16.6
Travis Fulgham,DET,9.4,121.1,12.88,0.7,0.1,16.0
Alex Erickson,CIN,10.0,120.5,12.05,0.6,0.1,15.6
Mack Hollins,PHI,8.0,111.2,13.90,0.6,0.0,14.8
Kendrick Bourne,SF,8.8,111.2,12.64,0.6,0.1,14.5
Riley Ridley,CHI,8.9,107.1,12.03,0.6,0.0,14.2
Isaiah McKenzie,BUF,5.6,96.6,17.25,0.7,0.0,13.6
Jehu Chesson,WAS,5.6,91.1,16.27,0.6,0.0,12.6
Robert Davis,WAS,8.2,100.9,12.30,0.4,0.1,12.6
Chester Rogers,IND,6.8,82.0,12.06,0.6,0.0,11.8
Byron Marshall,WAS,5.6,99.9,17.84,0.2,0.0,11.4
Malik Turner,SEA,6.0,71.0,11.83,0.7,0.0,11.0
Geremy Davis,LAC,6.2,78.3,12.63,0.5,0.0,10.7
Brandon Zylstra,CAR,5.4,73.6,13.63,0.5,0.0,10.6
Derrick Willies,CLE,5.5,73.4,13.35,0.5,0.0,10.2
Darius Jennings,TEN,7.6,80.4,10.58,0.4,0.0,10.1
Dontrelle Inman,LAC,5.5,73.4,13.35,0.4,0.0,9.9
Josh Bellamy,NYJ,5.3,72.1,13.60,0.5,0.0,9.8
De'Anthony Thomas,KC,4.9,64.7,13.20,0.4,0.0,8.9
Dwayne Harris,OAK,6.4,75.7,11.83,0.3,0.0,8.8
Damion Ratley,CLE,3.6,52.1,14.47,0.5,0.0,8.2
Scott Miller,TB,5.2,62.5,12.02,0.3,0.0,8.2
Devin Smith,DAL,3.7,46.4,12.54,0.4,0.0,7.1
Auden Tate,CIN,4.4,56.7,12.89,0.2,0.0,7.1
Gehrig Dieter,KC,4.3,48.8,11.35,0.3,0.0,6.9
DeAndre Carter,HOU,5.1,60.1,11.78,0.1,0.0,6.9
Richie James,SF,4.0,51.3,12.83,0.2,0.0,6.6
Ray-Ray McCloud,CAR,4.2,48.6,11.57,0.2,0.0,6.2
Mike Thomas,LAR,3.1,40.2,12.97,0.3,0.0,5.9
Bobo Wilson,TB,5.1,50.5,9.90,0.1,0.0,5.7
Kalif Raymond,TEN,3.7,43.9,11.86,0.2,0.0,5.6
Javon Wims,CHI,2.7,38.3,14.19,0.2,0.0,5.2
Juwann Winfree,DEN,3.4,40.5,11.91,0.2,0.0,5.0
Noah Brown,DAL,3.5,38.2,10.91,0.2,0.0,5.0
Steven Sims,WAS,3.3,40.4,12.24,0.2,0.0,5.0
Brittan Golden,NYG,2.6,35.3,13.58,0.2,0.0,5.0
Cameron Meredith,NE,4.0,39.1,9.78,0.2,0.0,4.9
Braxton Berrios,NYJ,3.5,39.5,11.29,0.2,0.0,4.9
Trent Sherfield,ARI,2.7,34.4,12.74,0.2,0.0,4.6
JoJo Natson,LAR,2.4,34.4,14.33,0.2,0.0,4.6
Damiere Byrd,ARI,3.2,37.4,11.69,0.1,0.0,4.5
Andre Roberts,BUF,3.0,36.9,12.30,0.1,0.0,4.3
Cody Core,NYG,2.9,36.5,12.59,0.1,0.0,4.3
Zach Pascal,IND,2.0,28.5,14.25,0.2,0.0,4.2
Jaleel Scott,BAL,2.6,32.8,12.62,0.2,0.0,4.1
Isaac Whitney,HOU,2.1,26.4,12.57,0.2,0.0,3.7
Byron Pringle,KC,1.8,22.3,12.39,0.2,0.0,3.2
Gunner Olszewski,NE,1.7,22.0,12.94,0.1,0.0,3.0
Pharoh Cooper,CIN,2.5,25.3,10.12,0.0,0.0,2.7
Marcus Johnson,IND,1.5,19.7,13.13,0.1,0.0,2.7
Nsimba Webster,LAR,1.6,19.6,12.25,0.1,0.0,2.7
C.J. Board,JAC,1.7,21.0,12.35,0.1,0.0,2.6
Khadarel Hodge,CLE,1.7,18.9,11.12,0.1,0.0,2.5
Matt Slater,NE,0.7,8.3,11.86,0.0,0.0,1.1
Andy Jones,DET,0.6,5.9,9.83,0.1,0.0,0.9
Cam Batson,TEN,0.0,0.0,0.00,0.0,0.0,0.0
DeAndrew White,CAR,0.0,0.0,0.00,0.0,0.0,0.0
Charles Johnson,PHI,0.0,0.0,0.00,0.0,0.0,0.0
Allen Lazard,GB,0.0,0.0,0.00,0.0,0.0,0.0
Daurice Fountain,IND,0.0,0.0,0.00,0.0,0.0,0.0
Vyncint Smith,HOU,0.0,0.0,0.00,0.0,0.0,0.0
Ashton Dulin,IND,0.0,0.0,0.00,0.0,0.0,0.0
Antoine Wesley,BAL,0.0,0.0,0.00,0.0,0.0,0.0
Cam Sims,WAS,0.0,0.0,0.00,0.0,0.0,0.0
Taquan Mizzell,NO,0.0,0.0,0.00,0.0,0.0,0.0
Terrelle Pryor,JAC,0.0,0.0,0.00,0.0,0.0,0.0
Emanuel Hall,TB,0.0,0.0,0.00,0.0,0.0,0.0
Joe Webb,HOU,0.0,0.0,0.00,0.0,0.0,0.0
Penny Hart,IND,0.0,0.0,0.00,0.0,0.0,0.0
Dillon Mitchell,MIN,0.0,0.0,0.00,0.0,0.0,0.0
Chris Thompson,WAS,0.0,0.0,0.00,0.0,0.0,0.0
Dylan Cantrell,LAC,0.0,0.0,0.00,0.0,0.0,0.0
Marcus Green,PHI,0.0,0.0,0.00,0.0,0.0,0.0
Emmanuel Butler,NO,0.0,0.0,0.00,0.0,0.0,0.0
Artavis Scott,LAC,0.0,0.0,0.00,0.0,0.0,0.0
Lil'Jordan Humphrey,NO,0.0,0.0,0.00,0.0,0.0,0.0
Keelan Doss,JAC,0.0,0.0,0.00,0.0,0.0,0.0
Jazz Ferguson,SEA,0.0,0.0,0.00,0.0,0.0,0.0
